"name","type","typecode","address","location","location_geo","pname","cityname","tel","photos"
"海舌生态公园","风景名胜;公园广场;公园","110101","喜洲镇金河村海舌生态公园","100.156499,25.869333","{""coordinates"":[100.156499,25.869333],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1d48076af03d492b02d22634a206325e""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/7892ae83712005ebde1f8df53999b9fd""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/872a5cccb404156f5a0cd38655e2d758""}]"
"大石庵","风景名胜;风景名胜;寺庙道观","110205","上末村观音塘内","100.183921,25.653272","{""coordinates"":[100.183921,25.653272],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"石宝山","风景名胜;风景名胜;风景名胜","110200","县城西南25公里处","99.847731,26.39391","{""coordinates"":[99.847731,26.39391],""type"":""Point""}","云南省","大理白族自治州","0872-4787029","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/0a6e81c7db5c48942f9375f61e8b9305""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4fdf0628e1f0f6e710a82908e0c04095""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/e31114cda4d39e27db7f5ed6beebf151""}]"
"云南新华白族旅游村-银都水乡","风景名胜;风景名胜;国家级景点","110202","草海镇银都水乡","100.182343,26.609951","{""coordinates"":[100.182343,26.609951],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b70d83b29ce22b53c0418e1f48c6e8ab""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/903088956ae5c2caba0f875a231cc0aa""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/563a76ba369fe6c3d650b8041d4214fb""}]"
"南天财神","风景名胜;风景名胜;风景名胜","110200","绿玉路与214国道交叉口西100米","100.165355,25.677524","{""coordinates"":[100.165355,25.677524],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"杜鹃园","风景名胜;风景名胜;风景名胜","110200","下关镇嘉士伯大道龙泉公园","100.201227,25.591664","{""coordinates"":[100.201227,25.591664],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/db2da11c76b7f9f6d4d25ffc483f4b6f""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1a289ae1af56968ffdd3553298cf8dec""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b67db6a14ae9ec03d1da5dba3b89744e""}]"
"观音洞","风景名胜;风景名胜;风景名胜","110200","320国道","100.184155,25.566685","{""coordinates"":[100.184155,25.566685],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"洱海月湿地公园","风景名胜;风景名胜;风景名胜","110200","鸡足山路东50米","100.230110,25.611010","{""coordinates"":[100.230110,25.611010],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/7590522ef264a676893f09bafa091948""},{""title"":""洱海月湿地公园,url"":""http://store.is.autonavi.com/showpic/334445fc2facd0b3bb51dea7e1c67615""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/97a8fdb0c8f762dc7a6ea6e6230719fc""}]"
"沙溪古镇","风景名胜;风景名胜;风景名胜","110200","084县道","99.849752,26.315413","{""coordinates"":[99.849752,26.315413],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/a2fe5fb8c0bfa12c6524282035811932""},{""title"":""沙溪镇[云南省大理州剑川县],url"":""http://store.is.autonavi.com/showpic/6553ad0ed60f0e78b178438afbe4b479""},{""title"":""沙溪镇[云南省大理州剑川县],url"":""http://store.is.autonavi.com/showpic/3ecb65ac88d84b9b05b2848db15cefde""}]"
"红塔公园","风景名胜;公园广场;公园","110101","环海西路南50米","100.199320,25.703099","{""coordinates"":[100.199320,25.703099],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/8b6de4fa092d2b0b00712435f9e78f64""}]"
"天镜阁景区-名山宝岛","风景名胜;风景名胜;风景名胜","110200","环海线西50米","100.238566,25.705903","{""coordinates"":[100.238566,25.705903],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/7d57a7f8fb45e2aac6eed3a1f8a80ce8""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/70e9df36ea4f70df6a8eec6a5c7a0f4f""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/654d3c69b7786ae41128c86437946887""}]"
"元世祖平云南碑","风景名胜;风景名胜;风景名胜","110200","观音路与Z005交叉口西南100米","100.150060,25.691580","{""coordinates"":[100.150060,25.691580],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/3665023ad5b68da35f99682ccd8f9122""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/262bae8515e0f351052b76809cc0093e""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1f42172765efc02e48f55e99e5f83f7f""}]"
"洱河森林公园","风景名胜;公园广场;公园","110101","双鸳路1号","100.228046,25.597281","{""coordinates"":[100.228046,25.597281],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/040e27017c5aae9285e1ab7badcd4e3a""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/74ba6445433653a8f6590a833d618f9b""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b0551618921f254ac0f8e51b97322659""}]"
"观音塘","风景名胜;风景名胜;寺庙道观","110205","大理古城南上末村","100.183923,25.653272","{""coordinates"":[100.183923,25.653272],""type"":""Point""}","云南省","大理白族自治州","0872-2663370","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/9d2d08c88a77389c42c771a9eea85b27""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/5cd5517179635ee7d05008170b28de2c""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/d2a2007fb4f3f98c6da589f0ef66791b""}]"
"石门寨","风景名胜;风景名胜;风景名胜","110200","007乡道东50米","100.022778,25.626753","{""coordinates"":[100.022778,25.626753],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/9001b755bd83d7b9a36742efb77b2f69""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/9e1e7caeff47df586dff995cace6a136""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b50ed0b1e807123335e6ab9c7a69a445""}]"
"宝林寺","风景名胜;风景名胜;寺庙道观","110205","苍山斜阳峰麓宝林村","100.193430,25.604951","{""coordinates"":[100.193430,25.604951],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"洱海鱼鹰驯化表演基地","风景名胜;风景名胜;风景名胜","110200","喜洲镇沙村村委会沙村码头","100.142164,25.866575","{""coordinates"":[100.142164,25.866575],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/712ed53c0e8ae2f2fdef64cc3890538a""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/678cbeacdc12ea891f0fba80d6f7531a""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/ee09d6f10e28df26f2fc7ea34a7751a7""}]"
"金梭岛","风景名胜;风景名胜;风景名胜","110200","海东镇金梭岛","100.257722,25.692861","{""coordinates"":[100.257722,25.692861],""type"":""Point""}","云南省","大理白族自治州","0872-2479333","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/5c04eb1aed4d8167d712cd0dcb1903d4""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/f64fcff65e8a4daed238cbf4375d4d88""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/ae2446364beca2a1ec25dfe8c2b1db40""}]"
"洱海游船","风景名胜;风景名胜相关;旅游景点","110000","绿玉小区玉局路","100.267639,25.606485","{""coordinates"":[100.267639,25.606485],""type"":""Point""}","云南省","大理白族自治州","0872-2329197","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4153c1127f024f13968dd41dd28861d7""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/748e8467f7a41544a69e467cf6d49937""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/64cb45dc14e01f7d1858f89d9b04a267""}]"
"青螺公园","风景名胜;公园广场;公园","110101","文笔路西150米","100.488303,25.347485","{""coordinates"":[100.488303,25.347485],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/99f7570fbcd6c913d32c955eb5fc2485""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/79e4074e7c0ac9b6447ba43de24537d9""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/c2c8b2974cbb05b30582963dae53cc2d""}]"
"天龙八部影视城","风景名胜;风景名胜;风景名胜","110200","大理古城(洗马潭索道东北)","100.14905,25.679977","{""coordinates"":[100.14905,25.679977],""type"":""Point""}","云南省","大理白族自治州","0872-2674428;0872-2674508;12301","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/eb5d0291f71d80e99d50fdffa259241a""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/81aa48079fb56db60bcdf891743b939c""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/dc8f52bf7fd75bcb3dc26c8bbef79875""}]"
"蛇骨塔","风景名胜;风景名胜;风景名胜","110200","万花路","100.204084,25.613857","{""coordinates"":[100.204084,25.613857],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"白王宫苑","风景名胜;风景名胜;寺庙道观","110205","榆华路南150米","100.227066,25.602716","{""coordinates"":[100.227066,25.602716],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/5571cfc6a3103f4075ef241f""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/5571cfc6a3103f4075ef241d""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/88108fc3fadf772f6c2e298377f46b31""}]"
"大理古城-红龙井","风景名胜;风景名胜;风景名胜","110200","博爱路与步行街交叉口东100米","100.161496,25.690061","{""coordinates"":[100.161496,25.690061],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/535a5b62219d6670e61eeace5b30a373""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/557aa97ca3109f1e8a19d4b0""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/557aa97ca3109f1e8a19d4b2""}]"
"魅力才村","风景名胜;风景名胜;风景名胜","110200","环海西路和月华路交汇处","100.185995,25.713834","{""coordinates"":[100.185995,25.713834],""type"":""Point""}","云南省","大理白族自治州","13988557188","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/e7840de17f006e91e754c27d66637239""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/781933ebb4c42d85f18c1774d9a41064""},{""title"":""才村,url"":""http://store.is.autonavi.com/showpic/15175a24afedfebcc1eb7ba97775bf61""}]"
"水目山风景区","风景名胜;风景名胜;风景名胜","110200","云南驿镇","100.646498,25.375400","{""coordinates"":[100.646498,25.375400],""type"":""Point""}","云南省","大理白族自治州","0872-3354086","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/e31c91871f4d88d023fa8cef936d2afd""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/ce4c9754055bb71783f3ebc1b256384f""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/8a3e14ab2d60916fa6e11931539391b2""}]"
"大理古城-大理西门清真寺","风景名胜;风景名胜;回教寺","110207","人民路11号","100.158488,25.692222","{""coordinates"":[100.158488,25.692222],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/eaf5a0c24e504e89b21361b339468197""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/f8a137d356949a23587b876c704a8ba2""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/9e8538c075979c9bd3f5a0e37cfcd304""}]"
"本主庙","风景名胜;风景名胜;寺庙道观","110205","[]","100.221903,25.841050","{""coordinates"":[100.221903,25.841050],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"上关花·天龙洞景区","风景名胜;风景名胜;风景名胜","110200","喜洲镇","100.094594,25.920072","{""coordinates"":[100.094594,25.920072],""type"":""Point""}","云南省","大理白族自治州","0872-2458661;12301","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/30755032fe4166670528d613d590c377""},{""title"":""天龙洞[云南大理景区],url"":""http://store.is.autonavi.com/showpic/d82547f787c1a50f18fc4fca90689514""},{""title"":""天龙洞[云南大理景区],url"":""http://store.is.autonavi.com/showpic/8b7dbe7c844854ca19a23cd53e11ab6c""}]"
"大理古城","风景名胜;风景名胜;国家级景点","110202","一塔路42号","100.165937,25.694973","{""coordinates"":[100.165937,25.694973],""type"":""Point""}","云南省","大理白族自治州","0872-2504361","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/386123df93c6d1ede6aec843e239ce8b""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/126414b2784ca0fb5f128938b8a55e80""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/7a72a9185aa209d41174dbb67fac8263""}]"
"龙泉公园","风景名胜;公园广场;公园","110101","嘉士伯大道2号","100.200284,25.592919","{""coordinates"":[100.200284,25.592919],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/77ab789c2fdd947ec612c464afbd0803""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/bde7106e43302980207c4d2ce446bb24""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/5c620363b2404bab179fcd3ac0a06448""}]"
"櫺星门","风景名胜;风景名胜;风景名胜","110200","诺邓镇诺邓村","100.212485,25.624813","{""coordinates"":[100.212485,25.624813],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/6bc328b7dd0071b7cd50301da992270f""}]"
"清真寺","风景名胜;风景名胜;回教寺","110207","南五里桥","100.169386,25.670388","{""coordinates"":[100.169386,25.670388],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
